"","scientificName","longitude","latitude"
"41","Dermatobia hominis",-82.956275,9.519349
"42","Dermatobia hominis",-92.096111,16.907222
"43","Dermatobia hominis",-83.263799,8.979096
"44","Dermatobia hominis",-84.094391,9.973625
"45","Dermatobia hominis",-83.742005,10.64405
"46","Dermatobia hominis",-52.38,-27.18
"47","Dermatobia_hominis",-53.616667,-20.45
"48","Dermatobia_hominis",-88.183333,17.483333
"49","Dermatobia_hominis",-90.25,15.5
"50","Dermatobia_hominis",-90.523611,14.631667
"51","Dermatobia_hominis",-49.2,-21.816667
"52","Dermatobia_hominis",-47.060833,-22.905833
"53","Dermatobia_hominis",-42.628889,-19.518889
"54","Dermatobia_hominis",-67.5,-12.5
"55","Dermatobia_hominis",-41.955922,-18.854931
"56","Dermatobia_hominis",-45.35825,-18.6039
"57","Dermatobia_hominis",-44.051475,-19.635492
"58","Dermatobia_hominis",-47.947678,-19.738761
"59","Dermatobia_hominis",-39.216667,-14.766667
"60","Dermatobia_hominis",-54.543269,-21.8047
"61","Dermatobia_hominis",-47.883333,-22.016667
"62","Dermatobia_hominis",-49.264994,-16.690622
"63","Dermatobia_hominis",-44.431864,-19.890689
"64","Dermatobia_hominis",-54.616667,-20.45
"65","Dermatobia_hominis",-55.780369,-27.77005
"66","Dermatobia_hominis",-43.905858,-22.626297
"67","Dermatobia_hominis",-43.777908,-22.863192
"68","Dermatobia_hominis",-43.461206,-22.756708
"69","Dermatobia_hominis",-56.366667,-14.66667
"70","Dermatobia_hominis",-47.648889,-22.725
"71","Dermatobia_hominis",-48.373889,-23.080833
"72","Dermatobia_hominis",-48.126944,-22.788889
"73","Dermatobia_hominis",-71.1875,8.584444
"74","Dermatobia_hominis",-43.207778,-22.902778
"75","Dermatobia_hominis",-44.308889,-21.74
"76","Dermatobia_hominis",-52.342778,-31.771944
"77","Dermatobia_hominis",-50.230833,-26.461944
"78","Dermatobia_hominis",-43.662778,-22.403889
"79","Dermatobia_hominis",-74.466667,4.283333
"80","Dermatobia_hominis",-42.881944,-20.753889
"81","Dermatobia_hominis",-48.770014,-15.780014
"82","Dermatobia_hominis",-53.806944,-29.683889
"83","Dermatobia_hominis",-91.147222,15.408333
"84","Dermatobia_hominis",-75.016667,6.3
"85","Dermatobia_hominis",-53.079203,-32.237017
"86","Dermatobia_hominis",-61.898061,-11.1718
"87","Dermatobia_hominis",-86.617233,30.418811
"88","Dermatobia_hominis",-74.196322,-13.177411
"89","Dermatobia_hominis",-42.1,-22.833333
"90","Dermatobia_hominis",-67.334444,-15.558889
"91","Dermatobia_hominis",-48.505,-24.755833
"92","Dermatobia_hominis",-42.855833,-22.7475
"93","Dermatobia_hominis",-54.270833,-23.888056
"94","Dermatobia_hominis",-86.283333,13.216667
"95","Dermatobia_hominis",-67.476944,-14.363611
"96","Dermatobia_hominis",-85.616667,12.733333
"97","Dermatobia_hominis",-52.335,4.936944
"98","Dermatobia_hominis",-44.28115,-22.182925
"99","Dermatobia_hominis",-44.163647,-22.634825
"100","Dermatobia_hominis",-45.533333,-22.8
"101","Dermatobia_hominis",-56.0044,-28.6606
"102","Dermatobia_hominis",-44.3181,-23.0067
"103","Dermatobia_hominis",-50.15,-25.0833
"104","Dermatobia_hominis",-111.5833,32.3833
"105","Dermatobia_hominis",-84.0166,10.7166
"106","Dermatobia_hominis",-85.0666,11.0666
"107","Dermatobia_hominis",-92.6333,17.85
"108","Dermatobia_hominis",-93.6664,18.2721
"109","Dermatobia_hominis",-85.65,11.2
"110","Dermatobia_hominis",-84.1058,11.1083
"111","Dermatobia_hominis",-85.6666,11.4666
"112","Dermatobia_hominis",-83.8333,8.9333
"113","Dermatobia_hominis",-95.6833,17.5833
"114","Dermatobia_hominis",-85.25,11.6
"115","Dermatobia_hominis",-84.6833,10.4666
"116","Dermatobia_hominis",-83.4333,9.6333
"117","Dermatobia_hominis",-83.05,10.1333
"118","Dermatobia_hominis",-85.3166,10.5
"119","Dermatobia_hominis",-85.95,11.45
"120","Dermatobia_hominis",-48.548889,-27.596944
"121","Dermatobia_hominis",-48.508889,-25.52
"122","Dermatobia_hominis",-68.366667,18.533333
"123","Dermatobia_hominis",-80.866667,-2.216667
"124","Dermatobia_hominis",-69.712778,11.105556
"125","Dermatobia_hominis",-55.896944,-27.366667
"126","Dermatobia_hominis",-41.933333,-18.083333
"127","Dermatobia_hominis",-52.75,-31.333333
"128","Dermatobia_hominis",-50.639281,-27.567969
"129","Dermatobia_hominis",-49.4481,-16.909153
"130","Dermatobia_hominis",-49.020525,-17.305442
"131","Dermatobia_hominis",-45.948161,-21.426114
"132","Dermatobia_hominis",-45.618,-22.473872
"133","Dermatobia_hominis",-49.655539,-22.213164
"134","Dermatobia_hominis",-47.208956,-23.088647
"135","Dermatobia_hominis",-45.662744,-23.3902
"136","Dermatobia_hominis",-46.359817,-23.053036
"137","Dermatobia_hominis",-47.426194,-21.996464
"138","Dermatobia_hominis",-51.393025,-22.121114
"139","Dermatobia_hominis",-45.401669,-23.806325
"140","Dermatobia_hominis",-76.134167,6.315556
"141","Dermatobia_hominis",-75.611667,1.614167
"142","Dermatobia_hominis",-73.64,4.15
"143","Dermatobia_hominis",-73.25,-3.75
"144","Dermatobia_hominis",-77.464444,8.256111
"145","Dermatobia_hominis",-89.616667,17.216667
"146","Dermatobia_hominis",-56.015278,-25.469722
"147","Dermatobia_hominis",-46.802778,-21.298889
"148","Dermatobia_hominis",-74.075833,4.598056
"149","Dermatobia_hominis",-81.823889,8.186389
"150","Dermatobia_hominis",-79.765,9.053889
"151","Dermatobia_hominis",-47.8125,-15.799444
"152","Dermatobia_hominis",-62.424167,4.964167
"153","Dermatobia_hominis",-53.817783,-25.460508
"154","Dermatobia_hominis",-86.570356,14.041094
