"X","species","longitude","latitude"
187,"Dermatobia hominis",-85.6666,11.4666
188,"Dermatobia hominis",-85.0166,10.2833
190,"Dermatobia hominis",-95.6833,17.5833
191,"Dermatobia hominis",-85.25,11.6
195,"Dermatobia hominis",-92.1666,17.5166
196,"Dermatobia hominis",-83.6,9.8666
198,"Dermatobia hominis",-83.4333,9.6333
200,"Dermatobia hominis",-85.3166,10.5
201,"Dermatobia hominis",-85.95,11.45
203,"Dermatobia hominis",-48.508889,-25.52
204,"Dermatobia hominis",-80.866667,-2.216667
205,"Dermatobia hominis",-48.445,-22.885833
207,"Dermatobia hominis",-69.712778,11.105556
208,"Dermatobia hominis",-55.896944,-27.366667
209,"Dermatobia hominis",-41.933333,-18.083333
210,"Dermatobia hominis",-52.75,-31.333333
211,"Dermatobia hominis",-50.639281,-27.567969
213,"Dermatobia hominis",-49.4481,-16.909153
214,"Dermatobia hominis",-49.020525,-17.305442
215,"Dermatobia hominis",-45.948161,-21.426114
216,"Dermatobia hominis",-45.618,-22.473872
218,"Dermatobia hominis",-49.655539,-22.213164
219,"Dermatobia hominis",-47.208956,-23.088647
220,"Dermatobia hominis",-45.662744,-23.3902
221,"Dermatobia hominis",-46.359817,-23.053036
222,"Dermatobia hominis",-47.426194,-21.996464
223,"Dermatobia hominis",-51.393025,-22.121114
225,"Dermatobia hominis",-76.134167,6.315556
226,"Dermatobia hominis",-75.611667,1.614167
227,"Dermatobia hominis",-73.64,4.15
228,"Dermatobia hominis",-73.25,-3.75
229,"Dermatobia hominis",-77.464444,8.256111
230,"Dermatobia hominis",-89.616667,17.216667
231,"Dermatobia hominis",-56.015278,-25.469722
232,"Dermatobia hominis",-46.802778,-21.298889
233,"Dermatobia hominis",-74.075833,4.598056
234,"Dermatobia hominis",-81.823889,8.186389
235,"Dermatobia hominis",-79.765,9.053889
236,"Dermatobia hominis",-47.8125,-15.799444
237,"Dermatobia hominis",-62.424167,4.964167
240,"Dermatobia hominis",-53.817783,-25.460508
241,"Dermatobia hominis",-86.570356,14.041094
