scientificName ,longitude,latitude
Dermatobia_hominis,-43.706025,-22.745536
Dermatobia_hominis,-44.432778,-19.888889
Dermatobia_hominis,-69.712778,11.105556
Dermatobia_hominis,-55.896944,-27.366667
Dermatobia_hominis,-41.933333,-18.083333
Dermatobia_hominis,-44.040497,-19.618900
Dermatobia_hominis,-52.750000,-31.333333
Dermatobia_hominis,-47.883333,-22.016667
Dermatobia_hominis,-50.639281,-27.567969
Dermatobia_hominis,-52.337589,-31.765400
Dermatobia_hominis,-49.448100,-16.909153
Dermatobia_hominis,-49.020525,-17.305442
Dermatobia_hominis,-45.948161,-21.426114
Dermatobia_hominis,-45.618000,-22.473872
Dermatobia_hominis,-50.155786,-25.097989
Dermatobia_hominis,-47.062581,-22.909883
Dermatobia_hominis,-49.655539,-22.213164
Dermatobia_hominis,-47.208956,-23.088647
Dermatobia_hominis,-45.662744,-23.390200
Dermatobia_hominis,-46.359817,-23.053036
Dermatobia_hominis,-47.426194,-21.996464
Dermatobia_hominis,-51.393025,-22.121114
Dermatobia_hominis,-47.891936,-22.008742
Dermatobia_hominis,-45.401669,-23.806325
Dermatobia_hominis,-76.134167,6.315556
Dermatobia_hominis,-75.611667,1.614167
Dermatobia_hominis,-73.640000,4.150000
Dermatobia_hominis,-73.250000,-3.750000
Dermatobia_hominis,-77.464444,8.256111
Dermatobia_hominis,-73.640000,4.150000
Dermatobia_hominis,-89.616667,17.216667
Dermatobia_hominis,-48.445000,-22.885833
Dermatobia_hominis,-56.015278,-25.469722
Dermatobia_hominis,-46.802778,-21.298889
Dermatobia_hominis,-74.075833,4.598056
Dermatobia_hominis,-81.823889,8.186389
Dermatobia_hominis,-79.765000,9.053889
Dermatobia_hominis,-48.445000,-22.885833
Dermatobia_hominis,-47.812500,-15.799444
Dermatobia_hominis,-62.424167,4.964167
Dermatobia_hominis,-54.620122,-20.469711
Dermatobia_hominis,-45.948161,-21.426114
Dermatobia_hominis,-50.157958,-25.098936
Dermatobia_hominis,-53.817783,-25.460508
Dermatobia_hominis,-86.570356,14.041094
